DISTRICT,CNTYNAME,COUNTY,DAD_POST,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION,asvab_status
"'001902","ANDERSON","'001","1","N","N","CAYUGA ISD","A","Meets Requirements","'07"," "
"'001903","ANDERSON","'001","0","N","N","ELKHART ISD","A","Meets Requirements","'07"," "
"'001904","ANDERSON","'001","0","N","N","FRANKSTON ISD","A","Meets Requirements","'07","ASVAB Alternative Test Offered"
"'001906","ANDERSON","'001","1","N","N","NECHES ISD","A","Meets Requirements","'07"," "
"'001907","ANDERSON","'001","0","N","N","PALESTINE ISD","B","Needs Assistance","'07"," "
"'001908","ANDERSON","'001","0","N","N","WESTWOOD ISD","B","Needs Assistance","'07"," "
"'001909","ANDERSON","'001","0","N","N","SLOCUM ISD","B","Meets Requirements","'07"," "
"'002901","ANDREWS","'002","0","N","N","ANDREWS ISD","B","Needs Assistance","'18"," "
"'003801","ANGELINA","'003","1","N","Y","PINEYWOODS COMMUNITY ACADEMY","A","Meets Requirements","'07"," "
"'003902","ANGELINA","'003","0","N","N","HUDSON ISD","A","Meets Requirements","'07"," "
"'003903","ANGELINA","'003","1","N","N","LUFKIN ISD","B","Needs Assistance","'07"," "
"'003904","ANGELINA","'003","0","N","N","HUNTINGTON ISD","B","Needs Assistance","'07"," "
"'003905","ANGELINA","'003","0","N","N","DIBOLL ISD","A","Meets Requirements","'07"," "
"'003906","ANGELINA","'003","0","N","N","ZAVALLA ISD","B","Meets Requirements","'07"," "
"'003907","ANGELINA","'003","0","N","N","CENTRAL ISD","A","Meets Requirements","'07"," "
"'004901","ARANSAS","'004","0","N","N","ARANSAS COUNTY ISD","B","Needs Assistance","'02"," "
"'005901","ARCHER","'005","1","N","N","ARCHER CITY ISD","A","Meets Requirements","'09"," "
"'005902","ARCHER","'005","0","N","N","HOLLIDAY ISD","A","Meets Requirements","'09"," "
"'005904","ARCHER","'005","0","N","N","WINDTHORST ISD","A","Meets Requirements","'09"," "
"'006902","ARMSTRONG","'006"," ","N","N","CLAUDE ISD","A","Meets Requirements","'16"," "
"'007901","ATASCOSA","'007","0","N","N","CHARLOTTE ISD","B","Meets Requirements","'20"," "
"'007902","ATASCOSA","'007","0","N","N","JOURDANTON ISD","A","Meets Requirements","'20"," "
"'007904","ATASCOSA","'007","0","N","N","LYTLE ISD","B","Needs Assistance","'20"," "
"'007905","ATASCOSA","'007","0","N","N","PLEASANTON ISD","B","Needs Assistance","'20"," "
"'007906","ATASCOSA","'007","0","N","N","POTEET ISD","C","Needs Assistance","'20"," "
"'008901","AUSTIN","'008","0","N","N","BELLVILLE ISD","C","Needs Intervention","'06"," "
"'008902","AUSTIN","'008","0","N","N","SEALY ISD","B","Meets Requirements","'06"," "
"'008903","AUSTIN","'008","0","N","N","BRAZOS ISD","B","Meets Requirements","'06"," "
"'009901","BAILEY","'009","0","N","N","MULESHOE ISD","A","Meets Requirements","'17"," "
"'010901","BANDERA","'010"," ","N","N","MEDINA ISD","C","Meets Requirements","'20"," "
"'010902","BANDERA","'010","0","N","N","BANDERA ISD","Not Rated: Senate Bill 1365","Needs Assistance","'20"," "
"'011901","BASTROP","'011","0","N","N","BASTROP ISD","C","Needs Intervention","'13"," "
"'011902","BASTROP","'011","0","N","N","ELGIN ISD","C","Needs Intervention","'13"," "
"'011904","BASTROP","'011","0","N","N","SMITHVILLE ISD","B","Needs Assistance","'13"," "
"'011905","BASTROP","'011","0","N","N","MCDADE ISD","B","Meets Requirements","'13"," "
"'012901","BAYLOR","'012","1","N","N","SEYMOUR ISD","A","Meets Requirements","'09"," "
"'013801","BEE","'013"," ","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","B","Meets Requirements","'02"," "
"'013901","BEE","'013","0","N","N","BEEVILLE ISD","B","Needs Assistance","'02"," "
"'013902","BEE","'013"," ","N","N","PAWNEE ISD","B","Meets Requirements","'02"," "
"'013903","BEE","'013","0","N","N","PETTUS ISD","B","Meets Requirements","'02"," "
"'013905","BEE","'013","0","N","N","SKIDMORE-TYNAN ISD","A","Meets Requirements","'02"," "
"'014801","BELL","'014"," ","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN","C","Needs Intervention","'20"," "
"'014803","BELL","'014","0","N","Y","PRIORITY CHARTER SCHOOLS","B","Meets Requirements","'12"," "
"'014804","BELL","'014","0","N","Y","ORENDA CHARTER SCHOOL","A","Meets Requirements","'12"," "
"'014901","BELL","'014","0","N","N","ACADEMY ISD","B","Meets Requirements","'12"," "
"'014902","BELL","'014"," ","N","N","BARTLETT ISD","B","Meets Requirements","'13"," "
"'014903","BELL","'014","0","N","N","BELTON ISD","B","Needs Assistance","'12"," "
"'014905","BELL","'014","0","N","N","HOLLAND ISD","A","Meets Requirements","'12"," "
"'014906","BELL","'014","0","N","N","KILLEEN ISD","C","Needs Assistance","'12"," "
"'014907","BELL","'014","0","N","N","ROGERS ISD","B","Meets Requirements","'12"," "
"'014908","BELL","'014","0","N","N","SALADO ISD","B","Meets Requirements","'12"," "
"'014909","BELL","'014","0","N","N","TEMPLE ISD","C","Needs Assistance","'12"," "
"'014910","BELL","'014","0","N","N","TROY ISD","A","Meets Requirements","'12"," "
"'015801","BEXAR","'015"," ","Y","Y","POR VIDA ACADEMY","B","Meets Requirements","'20"," "
"'015802","BEXAR","'015"," ","N","Y","GEORGE GERVIN ACADEMY","Not Rated: Data Under Review","Meets Requirements","'20"," "
"'015805","BEXAR","'015"," ","N","Y","NEW FRONTIERS PUBLIC SCHOOLS INC","A","Meets Requirements","'20"," "
"'015806","BEXAR","'015","0","N","Y","LEGACY TRADITIONAL SCHOOLS - TEXAS","C","Needs Assistance","'20"," "
"'015807","BEXAR","'015","0","N","Y","SOUTHWEST PREPARATORY SCHOOL","B","Meets Requirements","'20"," "
"'015808","BEXAR","'015"," ","N","Y","INSPIRE ACADEMIES","Not Rated: Data Under Review","Meets Requirements","'20","ASVAB Test not Offered"
"'015809","BEXAR","'015"," ","N","Y","BEXAR COUNTY ACADEMY","Not Rated: Senate Bill 1365","Meets Requirements","'20"," "
"'015814","BEXAR","'015"," ","Y","Y","POSITIVE SOLUTIONS CHARTER SCHOOL","Not Rated: Senate Bill 1365","Meets Requirements","'20"," "
"'015815","BEXAR","'015"," ","Y","Y","HERITAGE ACADEMY","A","Meets Requirements","'20"," "
"'015822","BEXAR","'015","0","N","Y","JUBILEE ACADEMIES","C","Needs Assistance","'20"," "
"'015825","BEXAR","'015"," ","N","Y","LIGHTHOUSE PUBLIC SCHOOLS","Not Rated: Senate Bill 1365","Meets Requirements","'20","ASVAB Test not Offered"
"'015827","BEXAR","'015","0","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY","A","Meets Requirements","'20"," "
"'015828","BEXAR","'015","0","N","Y","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS","B","Needs Assistance","'20"," "
"'015830","BEXAR","'015","0","N","Y","BROOKS ACADEMIES OF TEXAS","B","Meets Requirements","'20"," "
"'015831","BEXAR","'015","0","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY","A","Meets Requirements","'20"," "
"'015833","BEXAR","'015"," ","N","Y","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN","A","Meets Requirements","'20"," "
"'015834","BEXAR","'015","1","N","Y","BASIS TEXAS","A","Meets Requirements","'20"," "
"'015835","BEXAR","'015","0","N","Y","GREAT HEARTS TEXAS","A","Meets Requirements","'20","ASVAB Test not Offered"
"'015836","BEXAR","'015"," ","N","Y","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY","B","Meets Requirements","'20"," "
"'015838","BEXAR","'015","0","N","Y","COMPASS ROSE PUBLIC SCHOOLS","C","Needs Assistance","'20","ASVAB Test not Offered"
"'015839","BEXAR","'015"," ","N","Y","PROMESA ACADEMY CHARTER SCHOOL","Not Rated: Senate Bill 1365","Meets Requirements","'20"," "
"'015840","BEXAR","'015"," ","N","Y","SAN ANTONIO PREPARATORY SCHOOLS","C","Meets Requirements","'20"," "
"'015841","BEXAR","'015"," ","N","Y","THE GATHERING PLACE","Not Rated: Senate Bill 1365","Meets Requirements","'20"," "
"'015842","BEXAR","'015"," ","N","Y","ROYAL PUBLIC SCHOOLS","Not Rated","Meets Requirements","'20"," "
"'015843","BEXAR","'015"," ","N","Y","PRELUDE PREPARATORY CHARTER SCHOOL","Not Rated","Meets Requirements","'20"," "
"'015901","BEXAR","'015","0","N","N","ALAMO HEIGHTS ISD","A","Meets Requirements","'20"," "
"'015904","BEXAR","'015","0","N","N","HARLANDALE ISD","B","Needs Intervention","'20"," "
"'015905","BEXAR","'015","0","N","N","EDGEWOOD ISD","C","Needs Intervention","'20"," "
"'015906","BEXAR","'015","0","N","N","RANDOLPH FIELD ISD","A","Meets Requirements","'20"," "
"'015907","BEXAR","'015","0","N","N","SAN ANTONIO ISD","B","Needs Assistance","'20"," "
"'015908","BEXAR","'015","0","N","N","SOUTH SAN ANTONIO ISD","C","Needs Intervention","'20"," "
"'015909","BEXAR","'015","1","N","N","SOMERSET ISD","A","Meets Requirements","'20"," "
"'015910","BEXAR","'015","0","N","N","NORTH EAST ISD","B","Meets Requirements","'20"," "
"'015911","BEXAR","'015","0","N","N","EAST CENTRAL ISD","Not Rated: Senate Bill 1365","Needs Intervention","'20"," "
"'015912","BEXAR","'015","0","N","N","SOUTHWEST ISD","B","Needs Assistance","'20"," "
"'015913","BEXAR","'015","0","N","N","LACKLAND ISD","B","Meets Requirements","'20"," "
"'015914","BEXAR","'015","0","N","N","FT SAM HOUSTON ISD","A","Meets Requirements","'20"," "
"'015915","BEXAR","'015","0","N","N","NORTHSIDE ISD","B","Meets Requirements","'20","ASVAB Alternative Test Offered"
"'015916","BEXAR","'015","0","N","N","JUDSON ISD","B","Needs Assistance","'20"," "
"'015917","BEXAR","'015","0","N","N","SOUTHSIDE ISD","B","Needs Assistance","'20"," "
"'016901","BLANCO","'016","0","N","N","JOHNSON CITY ISD","A","Meets Requirements","'13"," "
"'016902","BLANCO","'016","0","N","N","BLANCO ISD","B","Meets Requirements","'13"," "
"'017901","BORDEN","'017"," ","N","N","BORDEN COUNTY ISD","A","Meets Requirements","'17"," "
"'018901","BOSQUE","'018","0","N","N","CLIFTON ISD","B","Meets Requirements","'12"," "
"'018902","BOSQUE","'018","0","N","N","MERIDIAN ISD","Not Rated: Senate Bill 1365","Meets Requirements","'12"," "
"'018903","BOSQUE","'018"," ","N","N","MORGAN ISD","B","Meets Requirements","'12"," "
"'018904","BOSQUE","'018","0","N","N","VALLEY MILLS ISD","B","Meets Requirements","'12"," "
"'018905","BOSQUE","'018"," ","N","N","WALNUT SPRINGS ISD","B","Meets Requirements","'12"," "
"'018906","BOSQUE","'018"," ","N","N","IREDELL ISD","B","Meets Requirements","'12"," "
"'018907","BOSQUE","'018"," ","N","N","KOPPERL ISD","Not Rated: Senate Bill 1365","Meets Requirements","'12"," "
"'018908","BOSQUE","'018"," ","N","N","CRANFILLS GAP ISD","B","Meets Requirements","'12"," "
"'019901","BOWIE","'019","0","N","N","DEKALB ISD","B","Meets Requirements","'08"," "
"'019902","BOWIE","'019","0","N","N","HOOKS ISD","B","Meets Requirements","'08"," "
"'019903","BOWIE","'019"," ","N","N","MAUD ISD","A","Meets Requirements","'08"," "
"'019905","BOWIE","'019","0","N","N","NEW BOSTON ISD","B","Meets Requirements","'08"," "
"'019906","BOWIE","'019","0","N","N","REDWATER ISD","A","Meets Requirements","'08"," "
"'019907","BOWIE","'019","0","N","N","TEXARKANA ISD","B","Needs Intervention","'08"," "
"'019908","BOWIE","'019","0","N","N","LIBERTY-EYLAU ISD","C","Needs Substantial Intervention","'08"," "
