DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"001902","CAYUGA ISD",588,84,9,234,28,172,14.3,39.8,1.5,4.8,92,589
"001903","ELKHART ISD",1196,157,44,440,59,266,13.1,36.8,3.7,4.9,86.1,1197
"001904","FRANKSTON ISD",802,130,33,338,51,239,16.2,42.1,4.1,6.4,94.8,802
"001906","NECHES ISD",326,46,6,143,30,90,14.1,43.9,1.8,9.2,96.8,326
"001907","PALESTINE ISD",3244,517,529,1062,88,892,15.9,32.7,16.3,2.7,87.8,3247
"001908","WESTWOOD ISD",1365,229,93,572,72,377,16.8,41.9,6.8,5.3,93.3,1365
"001909","SLOCUM ISD",332,56,8,116,9,64,16.9,34.9,2.4,2.7,78,332
"002901","ANDREWS ISD",4256,581,792,1006,293,1006,13.7,23.6,18.6,6.9,80.9,4269
"003801","PINEYWOODS COMMUNITY ACADEMY",1022,135,76,77,102,76,13.2,7.5,7.4,10,29,1022
"003902","HUDSON ISD",2740,419,203,929,184,640,15.3,33.9,7.4,6.7,79.8,2741
"003903","LUFKIN ISD",7035,982,1761,1798,846,1711,14,25.6,25,12,79.5,7046
"003904","HUNTINGTON ISD",1587,291,17,476,84,474,18.3,30,1.1,5.3,91,1590
"003905","DIBOLL ISD",1622,223,219,495,69,466,13.7,30.5,13.5,4.3,93.2,1627
"003906","ZAVALLA ISD",320,70,0,100,13,74,21.9,31.3,0,4.1,86,320
"003907","CENTRAL ISD",1524,279,75,536,79,357,18.3,35.2,4.9,5.2,86.9,1525
"004901","ROCKPORT-FULTON ISD",2968,449,179,973,141,746,15.1,32.8,6,4.8,83.1,2968
"005901","ARCHER CITY ISD",497,72,7,163,40,130,14.5,32.8,1.4,8,90.3,501
"005902","HOLLIDAY ISD",1127,155,10,304,77,303,13.8,27,0.9,6.8,83.2,1132
"005904","WINDTHORST ISD",516,50,41,162,40,122,9.7,31.4,7.9,7.8,87.1,516
"006902","CLAUDE ISD",316,37,4,82,23,82,11.7,25.9,1.3,7.3,93.2,319
"007901","CHARLOTTE ISD",442,71,37,130,11,120,16.1,29.4,8.4,2.5,87.6,444
"007902","JOURDANTON ISD",1584,261,54,534,72,411,16.5,33.7,3.4,4.5,86.7,1588
"007904","LYTLE ISD",1814,229,302,492,66,372,12.6,27.1,16.6,3.6,74.1,1821
"007905","PLEASANTON ISD",3353,518,203,1156,159,832,15.4,34.5,6.1,4.7,83.8,3364
"007906","POTEET ISD",1837,280,221,508,107,412,15.2,27.7,12,5.8,83.6,1842
"008901","BELLVILLE ISD",2269,311,235,628,247,627,13.7,27.7,10.4,10.9,84.6,2283
"008902","SEALY ISD",2987,508,637,928,160,693,17,31.1,21.3,5.4,73.7,3002
"008903","BRAZOS ISD",859,143,152,280,31,279,16.6,32.6,17.7,3.6,90.6,859
"009901","MULESHOE ISD",1320,213,470,400,30,317,16.1,30.3,35.6,2.3,89.8,1321
"010901","MEDINA ISD",237,40,4,71,18,63,16.9,30,1.7,7.6,86.3,239
"010902","BANDERA ISD",2331,437,152,700,128,537,18.7,30,6.5,5.5,75.8,2338
"011901","BASTROP ISD",12923,1785,5637,2999,1005,2780,13.8,23.2,43.6,7.8,66.7,13010
