DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"001902","CAYUGA ISD",575,79,5,21,13.7,0.9,3.7,190,170,33,89.9,577
"001903","ELKHART ISD",1187,166,39,61,14,3.3,5.1,439,248,37,81.3,1187
"001904","FRANKSTON ISD",811,144,22,57,17.8,2.7,7,270,217,33.3,83.8,811
"001906","NECHES ISD",337,56,7,32,16.6,2.1,9.5,134,85,39.8,93.4,337
"001907","PALESTINE ISD",3182,522,550,86,16.4,17.3,2.7,1134,896,35.6,89.4,3186
"001908","WESTWOOD ISD",1387,267,84,80,19.3,6.1,5.8,552,377,39.8,93.1,1387
"001909","SLOCUM ISD",323,66,7,12,20.4,2.2,3.7,126,78,39,90.7,323
"002901","ANDREWS ISD",4201,620,813,289,14.8,19.4,6.9,1090,1087,25.9,88.3,4209
"003801","PINEYWOODS COMMUNITY ACADEMY",1061,165,70,101,15.6,6.6,9.5,269,268,25.4,92.7,1061
"003902","HUDSON ISD",2774,518,212,202,18.7,7.6,7.3,375,149,13.5,18.8,2777
"003903","LUFKIN ISD",6850,1121,1728,826,16.4,25.2,12.1,2150,1704,31.4,81.8,6865
"003904","HUNTINGTON ISD",1560,353,18,88,22.6,1.2,5.6,442,439,28.3,88.3,1564
"003905","DIBOLL ISD",1575,245,183,73,15.6,11.6,4.6,585,455,37.1,93.2,1582
"003906","ZAVALLA ISD",303,74,0,7,24.4,0,2.3,66,66,21.8,79.5,303
"003907","CENTRAL ISD",1493,329,73,82,22,4.9,5.5,361,357,24.2,86.4,1497
"004901","ROCKPORT-FULTON ISD",2913,468,185,148,16.1,6.4,5.1,918,710,31.5,77.3,2913
"005901","ARCHER CITY ISD",483,81,6,38,16.8,1.2,7.9,193,127,40,90.7,484
"005902","HOLLIDAY ISD",1116,172,16,83,15.4,1.4,7.4,315,314,28.2,86,1120
"005904","WINDTHORST ISD",505,53,49,39,10.5,9.7,7.7,167,131,33.1,92.3,506
"006902","CLAUDE ISD",297,37,2,25,12.5,0.7,8.4,76,76,25.6,92.7,297
"007901","CHARLOTTE ISD",422,82,38,6,19.4,9,1.4,132,123,31.3,89.8,424
"007902","JOURDANTON ISD",1548,316,54,68,20.4,3.5,4.4,561,441,36.2,89.8,1554
"007904","LYTLE ISD",1820,270,300,84,14.8,16.5,4.6,592,441,32.5,83.7,1825
"007905","PLEASANTON ISD",3392,601,209,172,17.7,6.2,5.1,1092,809,32.2,81.6,3406
"007906","POTEET ISD",1836,358,225,113,19.5,12.3,6.2,473,390,25.8,80.7,1837
"008901","BELLVILLE ISD",2306,340,258,235,14.7,11.2,10.2,626,624,27.1,79.5,2315
"008902","SEALY ISD",3091,591,732,168,19.1,23.7,5.4,960,772,31.1,77.2,3109
"008903","BRAZOS ISD",866,154,151,34,17.8,17.4,3.9,296,295,34.2,93.1,866
"009901","MULESHOE ISD",1328,203,458,34,15.3,34.5,2.6,385,295,29,86.5,1330
"010901","MEDINA ISD",243,44,3,16,18.1,1.2,6.6,77,63,31.7,91.3,243
"010902","BANDERA ISD",2210,442,147,117,20,6.7,5.3,604,434,27.3,65.5,2218
"011901","BASTROP ISD",13281,1931,6003,1056,14.5,45.2,8,4463,2965,33.6,70.1,13370
"011902","ELGIN ISD",5941,861,3032,596,14.5,51,10,1484,1427,25,78.9,5959
"011904","SMITHVILLE ISD",1842,347,204,115,18.8,11.1,6.2,412,406,22.4,74.8,1849
"011905","MCDADE ISD",375,70,109,21,18.7,29.1,5.6,100,87,26.7,78.4,377
"012901","SEYMOUR ISD",593,131,8,34,22.1,1.3,5.7,141,141,23.8,89.8,594
"013801","ST MARY'S ACADEMY CHARTER SCHOOL",282,37,11,21,13.1,3.9,7.4,0,0,0,0,282
"013901","BEEVILLE ISD",3012,514,77,147,17.1,2.6,4.9,898,878,29.8,90.6,3033
"013902","PAWNEE ISD",630,52,52,9,8.3,8.3,1.4,28,20,4.4,90.9,630
"013903","PETTUS ISD",377,55,6,13,14.6,1.6,3.4,159,101,42.2,86.3,377
"013905","SKIDMORE-TYNAN ISD",774,130,21,77,16.8,2.7,9.9,305,223,39.4,96.5,775
"014801","RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)",1602,233,212,0,14.5,13.2,0,864,864,53.9,53.9,1607
"014803","PRIORITY CHARTER SCHOOLS",504,87,23,22,17.3,4.6,4.4,75,73,14.9,73.7,504
"014804","ORENDA CHARTER SCHOOL",1984,289,168,0,14.6,8.5,0,461,383,23.2,66.3,1984
"014901","ACADEMY ISD",1820,304,108,183,16.7,5.9,10.1,583,470,32,86.1,1832
"014902","BARTLETT ISD",391,52,107,18,13.3,27.4,4.6,143,113,36.6,89,393
"014903","BELTON ISD",13654,2682,1155,1387,19.6,8.5,10.2,3790,3439,27.8,78.6,13697
"014905","HOLLAND ISD",646,96,29,60,14.9,4.5,9.3,202,157,31.3,85.8,646
"014906","KILLEEN ISD",42854,8751,5044,1456,20.4,11.8,3.4,7338,7072,17.1,61.2,42883
"014907","ROGERS ISD",891,163,81,65,18.3,9.1,7.3,236,211,26.5,77.9,893
"014908","SALADO ISD",2421,306,146,183,12.6,6,7.6,603,603,24.9,78.5,2429
"014909","TEMPLE ISD",8712,1803,1332,742,20.7,15.3,8.5,2154,1938,24.7,81.1,8764
"014910","TROY ISD",1728,344,92,74,19.9,5.3,4.3,346,343,20,68.5,1732
"015801","POR VIDA ACADEMY",175,34,2,0,19.4,1.1,0,139,139,79.4,79.4,175
"015802","GEORGE GERVIN ACADEMY",865,80,179,5,9.2,20.7,0.6,116,92,13.4,78.6,865
"015805","NEW FRONTIERS PUBLIC SCHOOLS INC",303,19,34,0,6.3,11.2,0,12,12,4,7.1,303
"015806","LEGACY TRADITIONAL SCHOOLS - TEXAS",2186,196,195,90,9,8.9,4.1,38,33,1.7,53.2,2186
"015807","SOUTHWEST PREPARATORY SCHOOL",839,152,96,37,18.1,11.4,4.4,264,166,31.5,78.3,839
"015808","INSPIRE ACADEMIES",805,185,38,0,23,4.7,0,297,196,36.9,66.2,805
"015809","BEXAR COUNTY ACADEMY",153,22,34,0,14.4,22.2,0,0,0,0,0,153
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL",93,30,6,0,32.3,6.5,0,7,7,7.5,7.5,93
"015815","HERITAGE ACADEMY",589,73,375,1,12.4,63.7,0.2,221,152,37.5,79.6,589
"015822","JUBILEE ACADEMIES",5140,595,1573,333,11.6,30.6,6.5,1407,703,27.4,88.4,5140
"015825","LIGHTHOUSE PUBLIC SCHOOLS",462,90,142,6,19.5,30.7,1.3,51,44,11,50,462
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY",5602,717,1049,625,12.8,18.7,11.2,1271,575,22.7,91,5602
"015828","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",4803,561,2100,425,11.7,43.7,8.8,1236,1129,25.7,89,4807
"015830","SOMERSET ACADEMIES OF TEXAS",2604,419,298,347,16.1,11.4,13.3,545,542,20.9,80.4,2604
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",6084,898,998,666,14.8,16.4,10.9,1283,463,21.1,89.9,6084
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",61,19,1,0,31.1,1.6,0,26,26,42.6,42.6,61
"015834","BASIS TEXAS",7092,313,1024,0,4.4,14.4,0,201,77,2.8,18,7092
"015835","GREAT HEARTS TEXAS",12926,1593,1324,0,12.3,10.2,0,210,194,1.6,11.3,12926
"015836","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",486,47,47,0,9.7,9.7,0,0,0,0,0,486
"015838","COMPASS ROSE PUBLIC SCHOOLS",3975,606,919,0,15.2,23.1,0,535,324,13.5,59.6,3976
"015839","PROMESA ACADEMY CHARTER SCHOOL",248,59,18,9,23.8,7.3,3.6,0,0,0,0,248
"015840","SAN ANTONIO STEAM ACADEMY",139,16,0,0,11.5,0,0,17,16,12.2,20.5,139
"015841","THE GATHERING PLACE",555,166,11,0,29.9,2,0,0,0,0,0,555
"015842","ROYAL PUBLIC SCHOOLS",469,77,75,3,16.4,16,0.6,10,8,2.1,66.7,469
"015843","PRELUDE PREPARATORY CHARTER SCHOOL",162,33,20,0,20.4,12.3,0,0,0,0,0,162
"015844","ESSENCE PREPARATORY CHARTER SCHOOL",365,35,5,0,9.6,1.4,0,11,0,3,0,365
"015845","CELEBRATE DYSLEXIA SCHOOLS",61,32,1,0,52.5,1.6,0,0,0,0,0,61
"015901","ALAMO HEIGHTS ISD",4735,674,724,891,14.2,15.3,18.8,918,898,19.4,57.3,4749
"015904","HARLANDALE ISD",11531,1653,2739,745,14.3,23.8,6.5,2578,2227,22.4,59.8,11546
"015905","EDGEWOOD ISD",7838,1221,1806,330,15.6,23,4.2,1653,1481,21.1,62.8,7849
"015906","RANDOLPH FIELD ISD",1426,131,10,139,9.2,0.7,9.7,322,322,22.6,69.4,1427
"015907","SAN ANTONIO ISD",44011,7950,12584,3339,18.1,28.6,7.6,10622,9570,24.1,72.9,44047
"015908","SOUTH SAN ANTONIO ISD",7467,1259,1763,479,16.9,23.6,6.4,1638,1578,21.9,70.7,7468
"015909","SOMERSET ISD",4236,673,909,251,15.9,21.5,5.9,1102,1092,26,84.1,4259
"015910","NORTH EAST ISD",56155,9590,13010,5367,17.1,23.2,9.6,13288,9830,23.7,52,56420
"015911","EAST CENTRAL ISD",11484,1941,1783,878,16.9,15.5,7.6,3591,2814,31.3,78.6,11497
"015912","SOUTHWEST ISD",14811,2866,2724,1627,19.4,18.4,11,3505,3283,23.7,68.7,14833
"015913","LACKLAND ISD",1010,148,25,95,14.7,2.5,9.4,205,147,20.3,81.2,1010
"015914","FT SAM HOUSTON ISD",1614,280,42,103,17.3,2.6,6.4,326,306,20.2,69.2,1617
"015915","NORTHSIDE ISD",99729,17119,13264,8552,17.2,13.3,8.6,23178,20443,23.2,62.6,100208
"015916","JUDSON ISD",23505,4672,3226,1732,19.9,13.7,7.4,5250,4237,22.3,59.9,23539
"015917","SOUTHSIDE ISD",6086,1172,1588,485,19.3,26.1,8,1420,1332,23.3,74.5,6091
"016901","JOHNSON CITY ISD",704,122,58,27,17.3,8.2,3.8,223,192,31.7,75.3,707
"016902","BLANCO ISD",1098,190,113,75,17.3,10.3,6.8,336,335,30.6,92,1102
"017901","BORDEN COUNTY ISD",249,29,1,23,11.6,0.4,9.2,92,69,36.9,92,249
"018901","CLIFTON ISD",1000,207,99,49,20.7,9.9,4.9,306,269,30.6,86.5,1001
"018902","MERIDIAN ISD",380,77,21,40,20.3,5.5,10.5,132,109,34.7,84.5,382
"018903","MORGAN ISD",136,30,27,3,22.1,19.9,2.2,47,30,34.6,85.7,137
"018904","VALLEY MILLS ISD",669,139,64,36,20.8,9.6,5.4,177,177,26.5,85.9,669
"018905","WALNUT SPRINGS ISD",165,25,47,2,15.2,28.5,1.2,45,45,27.3,91.8,165
"018906","IREDELL ISD",144,30,0,7,20.8,0,4.9,52,37,36.1,86,144
"018907","KOPPERL ISD",191,43,4,9,22.5,2.1,4.7,58,47,30.4,88.7,191
"018908","CRANFILLS GAP ISD",116,20,5,4,17.2,4.3,3.4,57,48,49.1,100,116
"019901","DEKALB ISD",898,125,46,70,13.9,5.1,7.8,255,253,28.4,91.3,898
"019902","HOOKS ISD",912,138,28,65,15.1,3.1,7.1,362,262,39.7,78.4,914
"019903","MAUD ISD",448,73,1,37,16.3,0.2,8.3,163,121,36.4,91.7,450
"019905","NEW BOSTON ISD",1107,216,29,82,19.5,2.6,7.4,277,274,25,84.8,1108
"019906","REDWATER ISD",1100,161,10,104,14.6,0.9,9.5,316,314,28.7,88,1103
"019907","TEXARKANA ISD",7264,986,920,345,13.6,12.7,4.7,1998,1832,27.5,86.2,7269
"019908","LIBERTY-EYLAU ISD",1936,330,85,85,17,4.4,4.4,503,434,26,80.1,1937
"019909","SIMMS ISD",480,65,6,20,13.5,1.3,4.2,139,139,29,90.8,480
"019910","MALTA ISD",223,24,0,16,10.8,0,7.2,0,0,0,0,223
"019911","RED LICK ISD",504,55,6,74,10.9,1.2,14.7,4,0,0.8,0,504
"019912","PLEASANT GROVE ISD",2365,240,116,204,10.1,4.9,8.6,869,660,36.7,80.5,2366
"019913","HUBBARD ISD",64,4,11,4,6.3,17.2,6.3,0,0,0,0,64
"019914","LEARY ISD",119,15,0,1,12.6,0,0.8,0,0,0,0,119
"020901","ALVIN ISD",29936,4532,5008,3181,15.1,16.7,10.6,8050,6923,26.9,72.5,30038
"020902","ANGLETON ISD",7053,1265,1421,601,17.9,20.1,8.5,2496,2028,35.4,90.2,7105
"020904","DANBURY ISD",671,122,43,40,18.2,6.4,6,249,199,37.1,90.9,674
"020905","BRAZOSPORT ISD",11143,2041,1489,1362,18.3,13.4,12.2,3274,2749,29.4,79.5,11169
