DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'001902",13,13,100,62,10.5,593,3,0.5,55,424,13,8,1.3,28,4.7,4,0.7,45,7.6,295,49.7,283,47.7,4,0.7,30,5.1,56,9.4,0,0,0,0,0,0,8,1.3,310,52.3,0,0,12,2,298,50.3,0,0,237,40,83,14,593,100,27,4.6,479,80.8,8,1.3,30,5.1,84,14.1
"'001903",30,18.9,159,67,5.6,1194,6,0.5,104,836,12.4,35,2.9,48,4,8,0.6,70,5.9,704,59,578,48.4,6,0.5,56,4.7,135,11.3,24,2,0,0,3,0.3,35,2.9,616,51.6,0,0,36,3,490,41,1,0.1,352,29.5,163,13.7,1191,99.7,54,4.5,947,79.3,35,2.9,56,4.7,163,13.7
"'001904",15,11.5,130,75,9.4,801,7,0.9,83,640,13,35,4.4,64,8,8,0.9,59,7.4,471,58.8,376,46.9,6,0.7,52,6.5,91,11.4,11,1.4,0,0,5,0.6,35,4.4,425,53.1,0,0,31,3.9,330,41.2,0,0,290,36.2,116,14.5,801,100,33,4.1,601,75,35,4.4,52,6.5,117,14.6
"'001906",11,24.4,45,30,9.7,309,1,0.3,47,251,18.7,6,1.9,23,7.4,2,0.5,10,3.2,174,56.3,154,49.8,3,1,22,7.1,39,12.6,1,0.3,0,0,1,0.3,7,2.3,155,50.2,0,0,50,16.2,135,43.7,0,0,104,33.7,37,12,308,99.7,7,2.3,238,77,6,1.9,22,7.1,38,12.3
"'001907",76,15.6,487,226,6.9,3296,22,0.7,257,2033,12.6,524,15.9,808,24.5,142,3.9,119,3.6,2649,80.4,1545,46.9,13,0.4,63,1.9,1423,43.2,6,0.2,40,1.2,6,0.2,576,17.5,1751,53.1,0,0,65,2,647,19.6,3,0.1,1809,54.9,490,14.9,3296,100,128,3.9,906,27.5,524,15.9,63,1.9,491,14.9
"'001908",49,20.9,235,113,8,1414,5,0.4,128,937,13.7,101,7.1,298,21.1,29,1.9,77,5.4,1053,74.5,686,48.5,8,0.6,54,3.8,381,26.9,11,0.8,11,0.8,10,0.7,106,7.5,728,51.5,3,0.2,6,0.4,361,25.5,1,0.1,727,51.4,223,15.8,774,54.7,72,5.1,647,45.8,101,7.1,54,3.8,223,15.8
"'001909",8,14,57,20,5.7,349,2,0.6,43,313,13.7,5,1.4,0,0,0,0,21,6,179,51.3,186,53.3,0,0,9,2.6,24,6.9,4,1.1,0,0,0,0,5,1.4,163,46.7,0,0,10,2.9,170,48.7,0,0,113,32.4,57,16.3,348,99.7,11,3.2,312,89.4,5,1.4,9,2.6,57,16.3
"'002901",63,12.7,498,368,8.8,4185,20,0.5,261,2606,10,693,16.6,18,0.4,103,2.3,365,8.7,2071,49.5,2032,48.6,32,0.8,290,6.9,2928,70,69,1.6,18,0.4,15,0.4,662,15.8,2153,51.4,2,0,101,2.4,2114,50.5,0,0,2005,47.9,536,12.8,4135,98.8,70,1.7,1134,27.1,693,16.5,290,6.9,549,13.1
"'003801",1,0.9,117,86,8.6,996,11,1.1,92,779,11.8,62,6.2,145,14.6,0,0,45,4.5,610,61.2,505,50.7,5,0.5,97,9.7,331,33.2,7,0.7,0,0,2,0.2,62,6.2,491,49.3,0,0,8,0.8,386,38.8,6,0.6,434,43.6,125,12.6,995,99.9,35,3.5,466,46.8,62,6.2,97,9.7,126,12.6
"'003902",66,16.8,392,252,9.1,2763,31,1.1,283,1997,14.2,180,6.5,197,7.1,84,2.8,216,7.8,1495,54.1,1374,49.7,9,0.3,174,6.3,759,27.5,12,0.4,11,0.4,8,0.3,199,7.2,1389,50.3,2,0.1,159,5.8,1268,45.9,3,0.1,1095,39.6,377,13.6,2755,99.7,96,3.5,1669,60.4,180,6.5,174,6.3,382,13.8
